company_id,year,metric,computed,source,difference,category
HEROMOTOCO,Mar 2017,ROE,34.373788290034895,22.0,12.37,Version Difference
HEROMOTOCO,Mar 2018,ROE,31.089208152355496,22.0,9.09,Version Difference
HEROMOTOCO,Mar 2022,ROE,14.696788035590332,22.0,7.3,Version Difference
HEROMOTOCO,Mar 2023,ROE,16.810758885686838,22.0,5.19,Version Difference
HINDALCO,Mar 2015,ROE,0.6757285606198962,10.2,9.52,Version Difference
HINDALCO,Mar 2016,ROE,-1.7286808342978157,10.2,11.93,Version Difference
HINDALCO,Mar 2017,ROE,4.086063527215094,10.2,6.11,Version Difference
HINDALCO,Mar 2022,ROE,17.559565678914453,10.2,7.36,Version Difference
HINDUNILVR,Mar 2013,ROE,133.99650959860384,20.2,113.8,Version Difference
HINDUNILVR,Mar 2014,ROE,111.84619734238055,20.2,91.65,Version Difference
HINDUNILVR,Mar 2015,ROE,108.66650111745717,20.2,88.47,Version Difference
HINDUNILVR,Mar 2016,ROE,63.15228966986155,20.2,42.95,Version Difference
HINDUNILVR,Mar 2017,ROE,66.57769869513642,20.2,46.38,Version Difference
HINDUNILVR,Mar 2018,ROE,71.78958934212334,20.2,51.59,Version Difference
HINDUNILVR,Mar 2019,ROE,77.03063429515699,20.2,56.83,Version Difference
HINDUNILVR,Mar 2020,ROE,82.09989063069631,20.2,61.9,Version Difference
ICICIBANK,Mar 2016,ROE,11.610757509749126,18.8,7.19,Version Difference
ICICIBANK,Mar 2017,ROE,10.837984555394144,18.8,7.96,Version Difference
ICICIBANK,Mar 2018,ROE,8.225616921269095,18.8,10.57,Version Difference
ICICIBANK,Mar 2019,ROE,4.979300324717951,18.8,13.82,Version Difference
ICICIBANK,Mar 2020,ROE,9.128985035783995,18.8,9.67,Version Difference
ICICIBANK,Mar 2021,ROE,12.922385729787356,18.8,5.88,Version Difference
ICICIPRULI,Mar 2013,ROE,38.24791719262812,8.07,30.18,Version Difference
ICICIPRULI,Mar 2014,ROE,35.614875655943415,8.07,27.54,Version Difference
ICICIPRULI,Mar 2015,ROE,31.14909781576448,8.07,23.08,Version Difference
ICICIPRULI,Mar 2016,ROE,30.99755776817584,8.07,22.93,Version Difference
ICICIPRULI,Mar 2017,ROE,26.256634405245084,8.07,18.19,Version Difference
ICICIPRULI,Mar 2018,ROE,24.627319744447824,8.07,16.56,Version Difference
ICICIPRULI,Mar 2019,ROE,16.57691747926066,8.07,8.51,Version Difference
ICICIPRULI,Mar 2020,ROE,14.792735338971303,8.07,6.72,Version Difference
INDUSINDBK,Mar 2021,ROE,6.5398362734924484,15.2,8.66,Version Difference
INDUSINDBK,Mar 2022,ROE,9.667071994632899,15.2,5.53,Version Difference
INFY,Mar 2013,ROE,24.81707638048113,31.8,6.98,Version Difference
INFY,Mar 2014,ROE,23.92993487536492,31.8,7.87,Version Difference
INFY,Mar 2015,ROE,24.385052034058656,31.8,7.41,Version Difference
INFY,Mar 2016,ROE,21.84665716506867,31.8,9.95,Version Difference
INFY,Mar 2017,ROE,20.80687715635963,31.8,10.99,Version Difference
